Blog	questions	better	best	some	point	don	love	company	like	latest	episode	people	support	our	ll	via	other	help	product	work	years	design	search	my	ve	been	companies	time	once	why	year	watch	when	back	always	me	david	open	such	far	question	had	trump	really	their	donald	then	house	which	white	no	right	president	his	pretty	go	its	own	morning	comes	says	use	much	else	those	same	things	family	lead	often	so	case	put	tell	street	need	your	lot	even	many	while	doesn	most	home	does	bit	course	big	than	long	thing	down	do	too	any	being	get	least	building	re	just	very	way	where	want	say	sure	america	were	know	there	these	care	them	words	let	would	friends	talk	over	important	bad	will	because	d	night	who	anyone	think	system	he	public	life	try	private	after	old	here	everything	made	before	job	late	into	sometimes	if	internet	email	social	free	us	make	am	without	pay	stuff	asked	happy	data	past	nothing	two	first	still	continue	reading	business	might	site	m	facebook	never	ago	web	tech	york	well	did	going	china	got	last	list	easy	post	appeared	next	online	also	him	only	real	day	days	photos	may	art	must	matter	five	said	doing	though	probably	google	now	app	working	actually	number	used	service	see	idea	different	box	read	wouldn	using	group	b	each	another	both	find	around	store	place	full	name	something	game	lost	content	tools	isn	share	should	blog	thinking	top	little	won	create	businesses	features	week	amazon	youtube	comments	video	u	story	today	media	seen	future	major	yet	project	set	summer	calls	man	early	apple	products	buy	world	through	school	spend	available	could	information	needed	stories	study	her	went	found	makes	simple	million	recently	together	everyone	human	review	report	already	good	call	government	users	between	based	rights	done	making	less	under	example	country	able	look	along	twitter	news	told	off	give	learn	away	during	ways	feel	few	become	means	high	show	digital	cover	great	security	including	states	take	e	per	currently	head	move	united	three	th	again	car	left	six	ever	hard	experience	started	american	website	since	members	state	city	every	part	former	person	play	personal	hope	camera	platform	almost	plan	response	mobile	shows	page	come	looking	music	text	whether	second	coming	months	change	live	run	check	getting	however	team	health	start	didn	power	hours	someone	called	nbsp	according	smart	network	movie	com	light	against	kids	mind	kind	nearly	black	deal	half	women	bill	took	four	death	john	month	june	friend	moment	side	having	keep	enough	maybe	posts	she	line	happened	event	writing	thought	write	end	mean	money	instead	small	among	especially	times	came	original	short	book
Signal v. Noise	5	2	2	2	2	3	2	4	3	2	2	2	4	4	2	2	2	2	2	2	4	3	2	4	4	3	2	3	2	4	2	2	2	2	2	2	2	2	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
Eschaton	0	0	0	5	2	11	0	0	3	0	0	13	0	6	2	0	3	0	0	0	3	3	0	3	0	5	0	2	1	2	0	0	2	0	2	3	0	0	2	2	2	3	9	10	6	2	3	5	7	2	7	4	3	10	2	2	3	2	4	3	2	3	6	3	4	7	8	4	2	2	11	2	4	3	2	3	6	7	10	4	2	2	2	2	2	3	5	4	9	2	8	2	4	2	2	9	6	3	2	8	5	4	3	2	2	4	3	3	7	5	10	6	4	6	4	2	4	2	3	3	2	2	4	2	4	4	4	2	3	2	3	3	2	3	2	2	2	3	2	2	2	2	2	2	3	4	2	2	3	2	3	2	3	3	2	2	2	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0
John Battelle's Search Blog	2	1	1	3	0	0	2	2	2	1	0	0	1	8	3	0	0	2	0	2	4	0	0	6	5	1	0	3	0	0	7	1	2	3	0	1	0	0	0	0	1	2	0	0	1	0	3	0	0	0	0	2	0	0	2	1	4	2	0	0	0	0	0	0	1	0	2	0	2	0	3	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	1	1	0	3	1	0	1	1	1	2	0	0	0	2	1	2	0	4	0	1	3	2	1	0	1	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	1	1	1	3	4	0	0	0	3	1	1	0	0	0	1	0	4	2	2	2	3	2	10	11	3	2	2	6	6	2	2	2	2	2	5	5	3	3	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0
Guy Kawasaki	0	0	0	0	0	0	0	3	3	0	0	2	0	0	0	0	1	1	1	1	0	0	0	3	0	0	0	0	1	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	3	3	0	0	0	0	3	0	1	1	0	2	2	0	0	0	0	0	2	0	0	0	5	2	2	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	5	1	0	2	0	0	1	1	0	0	1	0	1	3	1	0	1	0	0	0	1	0	0	1	0	0	0	2	1	0	0	1	2	1	0	3	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	2	10	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	8	2	12	10	2	2	2	2	2	3	3	2	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
Google Blogoscoped	2	0	4	3	0	4	2	0	6	0	0	3	0	3	6	2	4	0	0	1	1	1	1	7	4	4	0	4	1	0	0	0	4	3	2	4	0	2	0	0	4	3	0	0	4	0	3	0	5	0	6	1	0	1	0	1	1	0	0	1	1	3	4	2	3	1	1	0	0	1	7	1	1	0	2	2	8	0	4	0	1	0	3	1	0	0	0	0	1	1	1	1	3	2	3	0	5	0	0	5	6	1	1	1	2	0	0	0	1	2	5	1	0	4	0	2	11	1	0	1	0	0	1	5	2	0	5	1	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	3	0	8	0	0	0	2	1	3	1	0	0	1	1	0	0	2	0	3	2	0	0	1	0	0	4	2	0	1	1	4	1	0	2	1	2	1	0	0	1	1	2	0	1	1	2	0	2	0	3	0	0	1	0	0	1	3	2	2	3	2	28	4	4	2	2	5	2	6	4	3	2	3	2	2	4	7	4	3	2	2	3	2	2	2	2	2	2	2	2	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
RSS feed – Search Engine Watch	0	0	5	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	14	0	1	1	0	1	0	0	3	10	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	14	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	2	0	0	0	1	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	2	5	1	0	0	0	0	0	0	3	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	19	4	5	2	4	7	3	3	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ABC News: BLOTTER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gigaom	0	1	1	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gizmodo	0	0	7	2	1	1	0	2	4	2	0	2	0	1	0	0	0	0	1	0	0	0	3	2	3	0	2	1	0	0	1	0	2	1	1	0	0	1	0	2	0	1	3	2	2	1	0	0	1	0	1	1	3	5	1	0	5	1	0	1	1	0	1	0	0	0	0	0	1	1	2	0	1	1	0	0	1	1	3	0	1	2	2	2	0	1	0	1	2	1	2	3	0	0	1	0	1	0	0	1	1	4	1	0	0	0	0	2	2	2	1	3	0	0	0	1	3	0	0	2	0	1	1	2	0	0	3	1	0	1	1	0	1	0	0	2	0	2	1	0	1	0	0	3	0	1	1	0	3	0	1	1	0	1	1	0	0	0	2	0	0	0	3	3	2	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	4	1	0	1	2	0	2	0	0	2	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	1	1	0	0	2	23	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	2	4	2	4	6	2	4	4	2	3	3	2	4	2	2	2	2	2	4	2	2	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0
The Official Google Blog	3	10	5	6	1	2	3	7	21	7	0	45	11	63	14	0	13	35	8	30	21	2	11	12	25	18	6	24	5	4	8	2	24	6	1	8	3	5	4	0	1	3	0	2	63	0	6	2	23	0	5	7	0	20	0	4	8	3	2	3	7	19	2	1	5	4	2	5	0	5	24	1	1	3	8	11	30	3	7	10	12	1	12	8	0	0	4	5	15	7	0	3	19	4	3	5	24	3	5	42	7	2	11	22	9	2	4	0	7	8	14	30	3	20	2	3	2	1	2	16	8	0	31	4	12	3	11	0	4	3	10	2	10	5	3	14	2	7	5	8	4	5	2	13	1	11	10	0	3	13	21	18	0	5	1	4	1	2	13	1	1	6	7	3	7	0	8	3	5	10	3	2	5	9	4	1	7	0	2	0	1	3	2	6	3	0	18	21	22	1	9	4	11	2	0	3	9	0	0	2	0	1	0	0	94	9	26	11	1	1	8	3	10	4	8	1	0	1	17	1	0	1	3	5	16	9	4	6	6	0	1	0	1	32	24	1	7	5	0	2	1	1	0	15	2	5	7	0	19	2	12	1	4	22	0	2	6	1	2	4	5	2	0	0	7	0	16	0	16	22	9	4	14	5	19	2	2	2	3	2	4	4	3	11	3	8	4	4	2	3	11	2	3	2	10	2	3	3	5	8	3	2	5	2	7	8	5	3	4	4	5	9	8	3	5	4	2	6	4	6	7	4	8	2	6	3	5	4	9	2	2	5	2	4	2	7	3	4	2	2	2	3	2	7	9	9	2	2	3	6	2	9	10	2	2	15	2	6	2	9	2	3	2	5	2	2	8	3	4	4	2	2	5	2	4	13	3	2	3	2	4	24	2	2	2	2	2	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0
Google Operating System	1	1	1	6	3	3	0	0	17	2	0	2	2	2	7	2	9	1	2	0	0	1	53	3	5	2	0	1	0	1	2	0	15	4	1	1	0	4	1	0	3	2	0	1	3	0	3	0	12	0	6	1	0	0	2	7	3	2	0	1	0	7	2	0	3	3	1	0	0	1	6	0	0	0	1	2	20	1	4	4	5	2	3	6	0	0	0	0	5	5	0	5	1	0	3	0	15	0	0	3	4	2	1	1	3	0	1	0	0	4	7	3	1	3	0	1	0	0	0	1	2	0	13	2	1	2	1	0	0	5	0	1	2	3	1	2	4	7	0	0	0	0	0	3	0	11	1	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	5	5	0	0	0	0	4	3	0	2	0	3	0	0	2	3	1	0	0	1	7	1	1	0	5	0	9	0	10	1	3	0	6	1	0	1	0	0	0	0	1	1	108	16	9	0	1	0	0	0	4	0	9	6	1	0	5	0	4	4	4	2	1	2	3	3	2	2	2	2	0	2	5	0	3	1	2	0	1	1	1	0	0	4	0	0	13	0	3	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	1	0	2	0	1	0	3	0	1	0	0	0	0	0	4	2	0	0	2	0	2	0	0	0	1	0	0	0	3	4	1	0	0	0	0	0	7	0	2	3	0	0	1	0	2	0	0	0	0	1	1	1	2	1	4	2	1	0	1	2	4	0	1	0	1	0	1	1	0	0	1	2	0	2	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	4	0	1	2	2	0	0	0	9	18	10	0	0	0	4	2	0	0	0	3	2	0	1	0	0	1	0	1	0	1	0	0	4	11	2	3	3	2	2	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
Creating Passionate Users	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	4	1	0	2	0	3	3	1	0	3	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	2	1	0	0	1	0	0	0	2	0	2	1	0	0	1	0	2	0	1	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	5	0	1	0	0	1	1	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
